date,montant,libelle
2024-01-01,2800.00,VIREMENT SALAIRE JANVIER
2024-01-02,-850.00,VIREMENT LOYER JANVIER
2024-01-03,-65.00,CARREFOUR MARKET
2024-01-04,-9.99,NETFLIX
2024-01-05,-9.99,SPOTIFY
2024-01-06,-32.50,TOTAL STATION SERVICE
2024-01-07,-45.00,EDF FACTURE ELECTRICITE
2024-01-08,-28.00,ORANGE FACTURE MOBILE
2024-01-09,-15.00,AMAZON PRIME
2024-01-10,-82.30,LECLERC COURSES
2024-01-11,-12.50,MCDONALDS
2024-01-12,-38.00,PHARMACIE CENTRALE
2024-01-13,-55.00,DECATHLON
2024-01-14,-120.00,SNCF BILLET PARIS
2024-01-15,-18.50,RESTAU LE PETIT BISTROT
2024-01-16,-76.00,LIDL COURSES
2024-01-17,-49.00,FNAC LIVRE
2024-01-18,-25.00,CANAL PLUS
2024-01-19,-150.00,MUTUELLE SANTE
2024-01-20,-35.00,ESSENCE BP
2024-01-21,-22.00,HAPPY PIZZA
2024-01-22,-90.00,IKEA
2024-01-23,-12.00,PARKING CENTRE VILLE
2024-01-24,-8.50,BOULANGERIE DU COIN
2024-01-25,150.00,REMBOURSEMENT CPAM
2024-01-26,-43.00,AUCHAN COURSES
2024-01-27,-19.99,DISNEY PLUS
2024-01-28,-200.00,ASSURANCE AUTO
2024-01-29,-15.00,TABAC PRESSE
2024-01-30,-67.00,ZARA VETEMENTS
2024-02-01,2800.00,VIREMENT SALAIRE FEVRIER
2024-02-02,-850.00,VIREMENT LOYER FEVRIER
2024-02-03,-54.00,INTERMARCHE COURSES
2024-02-04,-32.00,TOTAL ESSENCE
2024-02-05,-9.99,NETFLIX
2024-02-06,-9.99,SPOTIFY
2024-02-07,-78.00,EDF FACTURE
2024-02-08,-28.00,ORANGE FACTURE
2024-02-09,-88.00,MONOPRIX COURSES
2024-02-10,-24.00,RESTO JAPONAIS
2024-02-11,-45.00,PHARMACIE
2024-02-12,-110.00,VETEMENTS H&M
2024-02-13,-35.00,ESSENCE SHELL
2024-02-14,-65.00,RESTAU ST VALENTIN
2024-02-15,-15.00,AMAZON PRIME
2024-02-16,-150.00,MUTUELLE SANTE
2024-02-17,-42.00,LECLERC COURSES
2024-02-18,200.00,VIREMENT RECU AMI
2024-02-19,-55.00,SNCF BILLET
2024-02-20,-18.00,CINEMA UGC
